RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
323;20150313;Kvinde;63;60-69 år;Syddanmark;900;indvandrepolitikken;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,5343770072
324;20150313;Kvinde;55;50-59 år;Midtjylland;900;for mange indvandre at forsørge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Grundskole;Ingen;Vil ikke oplyse;Socialistisk Folkeparti - SF;2,0900534063
328;20150313;Kvinde;76;70++ år;Midtjylland;506;Ungdomsarbejdsløshed;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,3007689805
334;20150313;Mand;52;50-59 år;Sjælland;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;4 børn ++;800.000-899.999 kr.;Socialdemokraterne;0,5853391712
335;20150313;Mand;65;60-69 år;Nordjylland;103;arbejdsløsheden;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Lang videregående 5 år;Ingen;Vil ikke oplyse;Socialdemokraterne;0,3307462974
336;20150313;Kvinde;60;60-69 år;Hovedstaden;500;At flytte folk fra offentlig forsørgelse til selvforsørgelse - også alle flygtninge og indvandrere.;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Mellemlang videregående 3-4 år;Ingen;400.000-499.999 kr.;Radikale Venstre;0,8266949366
338;20150313;Kvinde;58;50-59 år;Midtjylland;.;ved ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Ved ikke;Venstre;1,5327950581
342;20150313;Mand;70;70++ år;Midtjylland;.;ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,9128052189
343;20150313;Mand;69;60-69 år;Nordjylland;2099;Partiet venstre;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Radikale Venstre;1,1261715029
346;20150313;Mand;68;60-69 år;Midtjylland;103;For mange arbejdsløse;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,3307462974
347;20150313;Kvinde;69;60-69 år;Hovedstaden;.;ved ikke;Ved ikke;Ved ikke;Ved ikke;Vil ikke svare;Vil ikke svare;;Grundskole;Ingen;Vil ikke oplyse;;1,4380584602
350;20150314;Mand;43;40-49 år;Hovedstaden;705;Miljø og klima;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;2 børn;900.000-999.999 kr.;Venstre;0,6684828526
351;20150315;Mand;67;60-69 år;Midtjylland;900;asylansøgere;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,6174995409
356;20150313;Kvinde;47;40-49 år;Hovedstaden;1300;At kunne opretholde velfærden;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,2465543624
357;20150313;Kvinde;47;40-49 år;Hovedstaden;100;økonomien;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,2465543624
358;20150313;Mand;70;70++ år;Syddanmark;900;flygtninge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Venstre;1,1694949040
361;20150313;Mand;66;60-69 år;Hovedstaden;1602;fred i europa;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974
362;20150313;Mand;79;70++ år;Sjælland;100;At bevare styr på landets egen økonomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;1.000.000 kr. eller derover;Venstre;0,7395162143
365;20150313;Mand;47;40-49 år;Hovedstaden;2400;En stigende polarisering i samfundet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(F) Socialistisk Folkeparti - SF;;Lang videregående 5 år;2 børn;1.000.000 kr. eller derover;Socialistisk Folkeparti - SF;0,7146943570
366;20150313;Mand;69;60-69 år;Syddanmark;900;Flygtninge;Venstre ledet regering;Socialdemokratisk ledet regering;Venstre ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,4782659904
369;20150314;Kvinde;63;60-69 år;Syddanmark;1227;Terrorisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974
370;20150315;Mand;49;40-49 år;Midtjylland;1300;velfærd;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;2 børn;400.000-499.999 kr.;Dansk Folkeparti;1,0066437538
372;20150313;Kvinde;48;40-49 år;Syddanmark;1227;Terrorisme;Venstre ledet regering;Ved ikke;Venstre ledet regering;(O) Dansk Folkeparti;Ved ikke;(O) Dansk Folkeparti;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;600.000-699.999 kr.;Dansk Folkeparti;0,8711385120
375;20150313;Mand;67;60-69 år;Hovedstaden;103;Ledigheden;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Enhedslisten;0,6554509922
378;20150314;Kvinde;64;60-69 år;Midtjylland;900;invandre politikken;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;300.000-399.999 kr.;Venstre;1,1323491585
379;20150313;Kvinde;62;60-69 år;Midtjylland;300;sundhed;Venstre ledet regering;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,7462580492
384;20150313;Mand;72;70++ år;Syddanmark;401;Landbrugsexporten;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;Konservative Folkeparti;0,6649383324
387;20150316;Mand;55;50-59 år;Hovedstaden;900;flygtning;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;1,2880626403
389;20150313;Mand;72;70++ år;Midtjylland;900;flygtninge- indvandrerpolitik;Ved ikke;Ved ikke;Ved ikke;Vil ikke svare;Vil ikke svare;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;;0,6970992397
392;20150313;Mand;69;60-69 år;Syddanmark;.;ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Socialistisk Folkeparti - SF;0,7173276119
395;20150313;Mand;55;50-59 år;Sjælland;900;flygtninge/indvandrere;Ved ikke;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;300.000-399.999 kr.;Dansk Folkeparti;1,3326684083
396;20150314;Mand;53;50-59 år;Midtjylland;201;fremmedhad;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;0,9365568441
398;20150315;Kvinde;41;40-49 år;Midtjylland;.;ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;Ved ikke;Enhedslisten;1,0687552092
399;20150313;Kvinde;63;60-69 år;Syddanmark;900;flygtninge lukker for mange ind i landet;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,3307462974
403;20150313;Kvinde;34;30-39 år;Sjælland;.;der er flere;Venstre ledet regering;Ved ikke;Ved ikke;Havde ikke stemmeret;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;300.000-399.999 kr.;Enhedslisten;1,9046966164
406;20150313;Kvinde;58;50-59 år;Midtjylland;900;integration;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Venstre;1,5327950581
408;20150313;Kvinde;66;60-69 år;Midtjylland;1300;Nedskæringer på de svageste danske, men penge til udlændinge både her og i udlandet er der nok af;Venstre ledet regering;Ved ikke;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,7462580492
410;20150314;Kvinde;56;50-59 år;Sjælland;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Socialdemokraterne;1,3658540263
411;20150313;Kvinde;66;60-69 år;Syddanmark;1300;Velfærd;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,3307462974
412;20150313;Kvinde;43;40-49 år;Hovedstaden;.;Det ved jeg ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;Ved ikke;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;700.000-799.999 kr.;;1,2276482630
413;20150313;Kvinde;68;60-69 år;Midtjylland;201;Fremmed og arbejdesløshed vi impoter arbejdere fra andre lande og dansker går arbejdesløs man må tage det arbejde man kan få;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,8071654561
414;20150313;Kvinde;58;50-59 år;Nordjylland;506;mangel på job til de unge;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,3997410041
415;20150313;Mand;50;50-59 år;Nordjylland;103;ajb.løshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;800.000-899.999 kr.;Enhedslisten;0,9648386903
417;20150313;Kvinde;69;60-69 år;Hovedstaden;1302;fattigdom;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;Har ikke stemmeret;;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;;0,3307462974
419;20150313;Mand;69;60-69 år;Hovedstaden;1227;Terror trusler;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Anden uddannelse;Ingen;800.000-899.999 kr.;Konservative Folkeparti;0,8697573361
421;20150313;Mand;67;60-69 år;Hovedstaden;.;?;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Socialistisk Folkeparti - SF;0,9490043333
424;20150313;Mand;55;50-59 år;Sjælland;900;indvandring af muslimer;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;500.000-599.999 kr.;Dansk Folkeparti;1,3326684083
425;20150313;Mand;77;70++ år;Midtjylland;900;luk  for  flere  flygtninge;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Grundskole;Ingen;500.000-599.999 kr.;Venstre;1,6332014069
426;20150313;Mand;57;50-59 år;Syddanmark;.;For mange mennesker både danskere og ikke mindst indvandrere;Venstre ledet regering;Ved ikke;Ved ikke;Stemte ikke;Vil ikke stemme;Ved ikke;Lang videregående 5 år;Ingen;200.000-299.999 kr.;;0,3371350256
429;20150313;Kvinde;49;40-49 år;Hovedstaden;700;miljø;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Vil ikke svare;1 barn;Vil ikke oplyse;Socialistisk Folkeparti - SF;1,8853517906
431;20150313;Mand;46;40-49 år;Midtjylland;100;lav økonomisk vækst;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Konservative Folkeparti;1,3147733392
432;20150313;Mand;44;40-49 år;Syddanmark;100;økonomien;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Gymnasie, HF eller lignende;3 børn;500.000-599.999 kr.;Venstre;0,8879606607
433;20150313;Mand;57;50-59 år;Syddanmark;507;Dagpenge optjenings perioden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,8256888049
437;20150313;Kvinde;68;60-69 år;Syddanmark;.;Ved ikke;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;0,8108483927
438;20150313;Mand;72;70++ år;Sjælland;900;indvandring/flygtninge;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;900.000-999.999 kr.;Dansk Folkeparti;1,3455078479
443;20150316;Mand;30;30-39 år;Midtjylland;1300;At sikre at velfærdssamfundet hænger økonomisk sammen. At det kan betale sig at yde til fællesskabet i stedet for at lukrere på ydelser, samt at der opsættes barrierer for at sikre, at rettigheder såsom sundhedsvæsen ikke misbruges.;Ved ikke;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Lang videregående 5 år;Ingen;400.000-499.999 kr.;Venstre;0,7887626018
444;20150313;Mand;75;70++ år;Nordjylland;1227;terror;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,1993394146
445;20150313;Mand;70;70++ år;Hovedstaden;1910;retforbehold;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,4066132911
447;20150313;Kvinde;67;60-69 år;Sjælland;100;økonomi;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Vil ikke svare;Vil ikke svare;;Grundskole;Ingen;200.000-299.999 kr.;;1,4878586921
448;20150313;Kvinde;64;60-69 år;Hovedstaden;1227;Terroren;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;1,0727287184
450;20150313;Mand;55;50-59 år;Midtjylland;500;mennesker på overførsels indkomst;Venstre ledet regering;Ved ikke;Socialdemokratisk ledet regering;Vil ikke svare;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Dansk Folkeparti;0,8358732446
455;20150314;Kvinde;68;60-69 år;Hovedstaden;700;Miljø;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Lang videregående 5 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,3532525476
456;20150313;Mand;24;18-29 år;Syddanmark;200;Indskrækning af frihed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Mellemlang videregående 3-4 år;Ingen;Under 100.000 kr.;Liberal Alliance (tidligere Ny Alliance);0,9419595597
460;20150313;Mand;69;60-69 år;Syddanmark;900;Flygtninge,ældrepleje,;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Enhedslisten;0,4954385109
464;20150314;Mand;44;40-49 år;Midtjylland;201;Vi er ikke åbne og imødekommende, når mennesker fra udlandet ønsker at bosætte sig i Danmark.;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(C) Konservative Folkeparti;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Radikale Venstre;1,7820650449
466;20150313;Kvinde;53;50-59 år;Midtjylland;1302;økonomi for dem på bistand,;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialdemokraterne;1,0926116771
469;20150313;Kvinde;71;70++ år;Syddanmark;900;Flygtninger indvandre arbejdespladser;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;500.000-599.999 kr.;Venstre;1,4133530949
470;20150315;Kvinde;54;50-59 år;Syddanmark;900;Flygtninge;Ved ikke;Venstre ledet regering;Socialdemokratisk ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;900.000-999.999 kr.;Konservative Folkeparti;1,5367873255
473;20150313;Kvinde;66;60-69 år;Nordjylland;2099;Deres populistiske snak om udlaendinger, hverken S, V, LA eller DFs politikere troverdighed over for vaelgerne og deres penge griskhed. Afskafelsen af efterloennen over for nedslidte medmennesker mens de selv beholder den, hvor nedslidt kan de blive ved at lyve over for befolkningen ?;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Enhedslisten;0,6753981111
475;20150313;Kvinde;51;50-59 år;Nordjylland;1302;social ulighed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;700.000-799.999 kr.;Socialdemokraterne;0,5829643492
478;20150313;Kvinde;67;60-69 år;Hovedstaden;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(A) Socialdemokraterne;(V) Venstre;;Grundskole;Ingen;200.000-299.999 kr.;Venstre;1,3681496935
