RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
1639,20150116,Mand,45,40-49 år,Syddanmark,Økonomi,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Venstre,1.8801546044
1640,20150116,Kvinde,18,18-29 år,Syddanmark,Ulighed i samfundet,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,Havde ikke stemmeret,(F) Socialistisk Folkeparti - SF,,Grundskole,Ingen,400.000-499.999 kr.,Socialistisk Folkeparti - SF,3.0464256936
1650,20150116,Mand,29,18-29 år,Hovedstaden,Social ulighed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(Ø) Enhedslisten,,Lang videregående 5 år,Ingen,400.000-499.999 kr.,Enhedslisten,1.1127529590
1658,20150116,Kvinde,18,18-29 år,Syddanmark,ISIS,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Havde ikke stemmeret,(B) Radikale Venstre,,"Gymnasie, HF eller lignende",Ingen,Vil ikke oplyse,Radikale Venstre,3.0464256936
1662,20150116,Kvinde,28,18-29 år,Hovedstaden,Sociale ydelser,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,"Gymnasie, HF eller lignende",Ingen,300.000-399.999 kr.,Venstre,2.9039738513
1663,20150116,Mand,32,30-39 år,Hovedstaden,indvandrerne,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,2 børn,800.000-899.999 kr.,Dansk Folkeparti,0.7628288275
1665,20150116,Kvinde,40,40-49 år,Nordjylland,Indvandrere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,"Gymnasie, HF eller lignende",2 børn,Vil ikke oplyse,,1.4003757604
1669,20150116,Mand,55,50-59 år,Syddanmark,indvandrere-asylasøgere,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Vil ikke svare,Vil ikke svare,,Kort videregående 1-2 år,Ingen,Vil ikke oplyse,,0.3351068263
1673,20150119,Mand,62,60-69 år,Sjælland,Miljø,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,Ved ikke,(Ø) Enhedslisten,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Enhedslisten,0.3351068263
1677,20150116,Mand,48,40-49 år,Syddanmark,den store sociale og økonomiske ulighed der er opstået. de rige bliver rigere og de fattige fatigere,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,(O) Dansk Folkeparti,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,300.000-399.999 kr.,Dansk Folkeparti,1.0660194258
