RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
2442,20150119,Kvinde,36,30-39 år,Syddanmark,terror,Ved ikke,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Kort videregående 1-2 år,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.6224159596
2450,20150117,Mand,67,60-69 år,Nordjylland,Arbejdsløseden Indvadring  Intregering  Imamer  Islamister,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,200.000-299.999 kr.,Socialdemokraterne,0.8754761867
2452,20150118,Mand,50,50-59 år,Midtjylland,arbejdsløshed,Venstre ledet regering,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.6625554349
2460,20150117,Mand,38,30-39 år,Sjælland,Sin egen selvforståelse,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Ved ikke,(B) Radikale Venstre,Stemme blankt,(B) Radikale Venstre,Mellemlang videregående 3-4 år,2 børn,800.000-899.999 kr.,Radikale Venstre,2.1696215437
2469,20150117,Kvinde,59,50-59 år,Sjælland,indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,200.000-299.999 kr.,Venstre,1.6669407202
2471,20150117,Kvinde,46,40-49 år,Midtjylland,For mange flygtninge og indvandrer,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,"Gymnasie, HF eller lignende",Ingen,600.000-699.999 kr.,Dansk Folkeparti,0.8954924184
2474,20150117,Kvinde,50,50-59 år,Hovedstaden,Der er så mange ting som der skulle gøres noget ved men det vigtigste er nok vores økonomi.,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Ved ikke,Kandidat uden for partierne,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Øvrige,0.3351068263
2475,20150117,Kvinde,41,40-49 år,Sjælland,Arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,2 børn,300.000-399.999 kr.,Socialdemokraterne,0.9696917304
2476,20150118,Mand,29,18-29 år,Hovedstaden,En god konkurrenceevne,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(I) Liberal Alliance,,Anden uddannelse,1 barn,300.000-399.999 kr.,Liberal Alliance (tidligere Ny Alliance),2.7885311113
2478,20150117,Mand,29,18-29 år,Midtjylland,Ved ikke,Ved ikke,Ved ikke,Ved ikke,(C) Konservative Folkeparti,(V) Venstre,,Anden uddannelse,1 barn,400.000-499.999 kr.,Venstre,2.1066388002
2479,20150117,Mand,27,18-29 år,Syddanmark,Ved ikke,Ved ikke,Ved ikke,Venstre ledet regering,(C) Konservative Folkeparti,(O) Dansk Folkeparti,,Kort videregående 1-2 år,2 børn,700.000-799.999 kr.,Dansk Folkeparti,0.4886529858
2481,20150118,Mand,23,18-29 år,Hovedstaden,Indvandring og integration,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,Venstre,1.3310060825
2486,20150117,Kvinde,42,40-49 år,Midtjylland,Ved ik,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(F) Socialistisk Folkeparti - SF,,"Gymnasie, HF eller lignende",1 barn,100.000-199.999 kr.,Socialistisk Folkeparti - SF,1.8868946535
2489,20150117,Kvinde,46,40-49 år,Hovedstaden,ulighed bland danskere,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,1 barn,400.000-499.999 kr.,Enhedslisten,1.0808050923
2497,20150117,Kvinde,18,18-29 år,Midtjylland,skoler,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Havde ikke stemmeret,(V) Venstre,,"Gymnasie, HF eller lignende",Ingen,100.000-199.999 kr.,Venstre,2.2315574115
2502,20150118,Kvinde,63,60-69 år,Hovedstaden,arbejdsløshed,Ved ikke,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,Grundskole,Ingen,Vil ikke oplyse,,0.7953768803
2515,20150118,Kvinde,61,60-69 år,Midtjylland,terrortrusler,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Ved ikke,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Grundskole,Ingen,300.000-399.999 kr.,Socialdemokraterne,0.8450552356
2519,20150117,Kvinde,43,40-49 år,Syddanmark,de arbejdsløse,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Vil ikke svare,,Grundskole,1 barn,Vil ikke oplyse,,2.0086763905
2520,20150119,Kvinde,64,60-69 år,Nordjylland,integration af mennesker med anden etnisk herkomst.,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,Kandidat uden for partierne,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,700.000-799.999 kr.,Øvrige,0.3351068263
2521,20150118,Kvinde,27,18-29 år,Syddanmark,At få skaffet arbejdspladser til dem som er arbejdsløse og dem som bliver færdig med deres uddannelser,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Gymnasie, HF eller lignende",Ingen,Ved ikke,Socialdemokraterne,2.2701397682
2522,20150117,Mand,37,30-39 år,Nordjylland,Dagpenge,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(F) Socialistisk Folkeparti - SF,,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Socialistisk Folkeparti - SF,1.6124747365
2528,20150119,Mand,52,50-59 år,Nordjylland,Vi skal passe på ikke at vores velfærdssystem bliver udhulet/gennemhullet af udefrakommende påvirkninger.,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Kort videregående 1-2 år,Ingen,800.000-899.999 kr.,Socialdemokraterne,0.3723039744
2529,20150117,Kvinde,68,60-69 år,Hovedstaden,arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Venstre,0.3912941215
2530,20150117,Kvinde,52,50-59 år,Syddanmark,Arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,Grundskole,Ingen,Vil ikke oplyse,Liberal Alliance (tidligere Ny Alliance),1.6226104737
2531,20150119,Kvinde,68,60-69 år,Sjælland,velfærd,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Vil ikke svare,Ingen,Vil ikke oplyse,Venstre,0.6187526815
2533,20150117,Kvinde,49,40-49 år,Sjælland,Sygehus    Sundhedsvæsen sektoren,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Grundskole,Ingen,600.000-699.999 kr.,Dansk Folkeparti,1.7522581837
2546,20150117,Mand,34,30-39 år,Nordjylland,arbejdsløshed,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,1 barn,300.000-399.999 kr.,Dansk Folkeparti,0.7652569908
2549,20150117,Mand,55,50-59 år,Syddanmark,Indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Vil ikke svare,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.4359482180
2551,20150117,Mand,71,70 år ++,Syddanmark,ved ikke rigtig,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Grundskole,Ingen,200.000-299.999 kr.,Enhedslisten,1.2686066986
2552,20150119,Kvinde,67,60-69 år,Hovedstaden,indvandring,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.6639791520
2554,20150118,Mand,42,40-49 år,Syddanmark,Indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Kort videregående 1-2 år,2 børn,1.000.000 kr. eller derover,Dansk Folkeparti,0.3458452748
2557,20150119,Mand,39,30-39 år,Syddanmark,Arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,Lang videregående 5 år,1 barn,300.000-399.999 kr.,Liberal Alliance (tidligere Ny Alliance),1.0460855714
2559,20150117,Kvinde,57,50-59 år,Hovedstaden,"Manglende sammenhængskraft. Gælder sociealt, mht etnisitet. Enhver hytter sine. Fx. lider folkeskolen under at de velbjergede sætter deres børn i fri- og privatskoler.",Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(F) Socialistisk Folkeparti - SF,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Socialistisk Folkeparti - SF,0.7649244552
2561,20150118,Kvinde,61,60-69 år,Midtjylland,Ulighed blandt forskellige befolkningsgrupper.,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,Grundskole,Ingen,100.000-199.999 kr.,Enhedslisten,0.8193682860
2562,20150117,Mand,58,50-59 år,Syddanmark,"Flygtninge tilstrømningen til danmark, og den fejlagtige integrations politik",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,800.000-899.999 kr.,Dansk Folkeparti,0.3351068263
2567,20150117,Mand,23,18-29 år,Nordjylland,Økonomisk stabilitet,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(I) Liberal Alliance,,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,Liberal Alliance (tidligere Ny Alliance),1.3581913185
2573,20150117,Mand,69,60-69 år,Hovedstaden,Indvandring- flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.5269249295
2575,20150117,Mand,52,50-59 år,Hovedstaden,Islam,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Venstre,1.2181867055
2576,20150118,Mand,56,50-59 år,Hovedstaden,Religionsmodsætninger Arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,"Gymnasie, HF eller lignende",1 barn,Vil ikke oplyse,Venstre,0.8797570221
2581,20150117,Kvinde,65,60-69 år,Syddanmark,Flygtninge,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Ved ikke,(O) Dansk Folkeparti,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Dansk Folkeparti,0.4427997579
2583,20150117,Kvinde,65,60-69 år,Hovedstaden,Indvandring / flygtninge,Venstre ledet regering,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.5319042470
2589,20150117,Mand,82,70 år ++,Sjælland,landbruget står overfor kæmpe underskud,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,(V) Venstre,,Grundskole,Ingen,200.000-299.999 kr.,Venstre,1.4559719049
2592,20150117,Mand,50,50-59 år,Midtjylland,Krisen med ekstreme islamister,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.5307637965
2606,20150117,Kvinde,64,60-69 år,Hovedstaden,Arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,200.000-299.999 kr.,Venstre,1.1710687045
2608,20150118,Mand,66,60-69 år,Sjælland,indvandring,Ved ikke,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(O) Dansk Folkeparti,,Lang videregående 5 år,Ingen,1.000.000 kr. eller derover,Dansk Folkeparti,0.3351068263
2610,20150117,Mand,23,18-29 år,Syddanmark,"Vores tendens til sensations politik, det er ikke godt for landet at vi lader vores politik styre af enkeltsager",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,"Gymnasie, HF eller lignende",Ingen,100.000-199.999 kr.,Radikale Venstre,3.0464256936
2613,20150117,Mand,65,60-69 år,Nordjylland,arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.3351068263
2616,20150119,Kvinde,70,70 år ++,Midtjylland,udlændingeproblematikken,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(O) Dansk Folkeparti,,Kort videregående 1-2 år,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.3351068263
2617,20150117,Mand,48,40-49 år,Hovedstaden,vækst og terror,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,4 børn ++,400.000-499.999 kr.,Enhedslisten,0.8577135582
2630,20150117,Kvinde,70,70 år ++,Sjælland,Alle de fremmede som kommer - og er kommet som ikke vil Danmark,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Venstre,1.4697303065
2633,20150118,Kvinde,50,50-59 år,Midtjylland,For få arbejdspladser. For mange natioliteter kommer ind til Danmark for at få et job. De holder også lønnen lav.,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,1 barn,200.000-299.999 kr.,Socialdemokraterne,1.3827462914
2642,20150117,Mand,23,18-29 år,Midtjylland,"Tillokkelsen til at lukke grænserne og straffe kollektivt, udviske nuancer og tage den nemme løsning. Så: frygt.",Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Vil ikke stemme,Vil ikke svare,Vil ikke svare,Ingen,Vil ikke oplyse,,1.1342580954
2643,20150117,Kvinde,59,50-59 år,Hovedstaden,Beskæftigelsen. Lærerpladser.,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.6402665944
2644,20150117,Kvinde,65,60-69 år,Midtjylland,Integration,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Enhedslisten,0.3351068263
2653,20150117,Mand,52,50-59 år,Syddanmark,Abejdesløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,400.000-499.999 kr.,Socialdemokraterne,1.1887608795
2657,20150119,Mand,26,18-29 år,Hovedstaden,Folk som udnytter velfærdssamfundet,Ved ikke,Ved ikke,Ved ikke,Stemte blankt,Stemme blankt,Ved ikke,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,,0.9770952770
2658,20150117,Kvinde,25,18-29 år,Syddanmark,Integrering af invandrer,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,Socialdemokraterne,1.3111290024
2665,20150118,Mand,22,18-29 år,Hovedstaden,Fordom,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,Stemte ikke,Har ikke stemmeret,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Ved ikke,,1.7459838297
2668,20150117,Mand,59,50-59 år,Midtjylland,Flygtninge politikken,Venstre ledet regering,Venstre ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.6625554349
2672,20150117,Mand,48,40-49 år,Syddanmark,Arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(C) Konservative Folkeparti,,Kort videregående 1-2 år,1 barn,700.000-799.999 kr.,Konservative Folkeparti,0.4593577469
2677,20150117,Kvinde,56,50-59 år,Nordjylland,Den omsiggribende egoisme,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,100.000-199.999 kr.,Socialdemokraterne,1.8051243167
2683,20150118,Mand,44,40-49 år,Hovedstaden,Dagpenge til arbejdsløse,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(A) Socialdemokraterne,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.5341129998
2687,20150118,Mand,27,18-29 år,Midtjylland,At skabe vækst i økonomien,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(F) Socialistisk Folkeparti - SF,,Mellemlang videregående 3-4 år,Ingen,Under 100.000 kr.,Socialistisk Folkeparti - SF,1.2219493084
2693,20150119,Mand,54,50-59 år,Syddanmark,"At bistandshjælp er så god, at det kan være et alternativ til at arbejde.",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Venstre,0.4229887733
2696,20150118,Mand,19,18-29 år,Syddanmark,Mulig deflation.,Socialdemokratisk ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,Havde ikke stemmeret,(I) Liberal Alliance,,Vil ikke svare,1 barn,Vil ikke oplyse,Liberal Alliance (tidligere Ny Alliance),2.0487458965
2699,20150117,Kvinde,62,60-69 år,Hovedstaden,folkeskolerne,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,Grundskole,2 børn,300.000-399.999 kr.,,0.7953768803
2700,20150117,Mand,56,50-59 år,Hovedstaden,"krise økonomi, arbjdesløs",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(F) Socialistisk Folkeparti - SF,,Mellemlang videregående 3-4 år,1 barn,100.000-199.999 kr.,Socialistisk Folkeparti - SF,0.6070336781
2701,20150117,Kvinde,44,40-49 år,Hovedstaden,Flygningene,Ved ikke,Venstre ledet regering,Ved ikke,(C) Konservative Folkeparti,Ved ikke,(O) Dansk Folkeparti,Kort videregående 1-2 år,1 barn,400.000-499.999 kr.,Dansk Folkeparti,0.5234966174
2703,20150117,Kvinde,31,30-39 år,Syddanmark,Mangle vilje til at arbejde i dårlige job,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(A) Socialdemokraterne,,Lang videregående 5 år,1 barn,500.000-599.999 kr.,Socialdemokraterne,1.2169103113
2709,20150117,Mand,26,18-29 år,Midtjylland,Få valgt en stærk regering,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Lang videregående 5 år,Ingen,300.000-399.999 kr.,Venstre,0.9391480306
2713,20150117,Kvinde,25,18-29 år,Hovedstaden,Risikoen for terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.9509497140
2714,20150117,Mand,23,18-29 år,Hovedstaden,Terror,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Under 100.000 kr.,,2.6109544590
2717,20150119,Kvinde,43,40-49 år,Syddanmark,samfundsnassere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,300.000-399.999 kr.,Venstre,2.3691833118
2720,20150117,Mand,29,18-29 år,Syddanmark,Politisk troværdighed.,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Stemte blankt,Stemme blankt,(V) Venstre,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Venstre,2.6565121939
2726,20150118,Mand,71,70 år ++,Syddanmark,Indvandring,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Socialdemokraterne,0.4371735879
2728,20150117,Kvinde,40,40-49 år,Syddanmark,Mistillid til vores politikere,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,500.000-599.999 kr.,Dansk Folkeparti,1.3432930717
2734,20150117,Mand,42,40-49 år,Syddanmark,at politiker piler med skole systemet,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,Lang videregående 5 år,1 barn,Vil ikke oplyse,Enhedslisten,0.6556223045
2739,20150117,Kvinde,29,18-29 år,Midtjylland,arbejdsløshed blandt nyuddannede og seniorer samt manglen på lærerpladser,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,Ved ikke,Ved ikke,Lang videregående 5 år,Ingen,400.000-499.999 kr.,,0.9682786056
2742,20150117,Mand,30,30-39 år,Midtjylland,Det politiske landskab er for ensformigt og kompromis søgende,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,Lang videregående 5 år,Ingen,300.000-399.999 kr.,Radikale Venstre,1.7597815738
2747,20150117,Mand,28,18-29 år,Hovedstaden,Antallet af ældre borgere ift. unge,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Socialdemokraterne,2.9965746547
2748,20150118,Kvinde,26,18-29 år,Midtjylland,Terrorfrygten,Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,(V) Venstre,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,1.2888463357
2751,20150119,Mand,54,50-59 år,Syddanmark,Mange udlændinge i Danmark,Venstre ledet regering,Ved ikke,Ved ikke,Stemte ikke,Vil ikke stemme,(O) Dansk Folkeparti,Grundskole,Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.7177613011
2857,20150118,Mand,40,40-49 år,Syddanmark,forvaltning af statens økonomi,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Mellemlang videregående 3-4 år,1 barn,300.000-399.999 kr.,Konservative Folkeparti,0.5905755284
2858,20150118,Kvinde,37,30-39 år,Hovedstaden,terror,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",4 børn ++,600.000-699.999 kr.,Venstre,3.0464256936
2861,20150118,Mand,67,60-69 år,Sjælland,pas,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Venstre,0.6476439932
2863,20150119,Kvinde,76,70 år ++,Midtjylland,Ungdomsarbejdsløshed,Venstre ledet regering,Socialdemokratisk ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.9188962276
2864,20150118,Mand,67,60-69 år,Midtjylland,At socialdemokratiet er ved magten,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Venstre,0.5721000730
2865,20150118,Kvinde,64,60-69 år,Midtjylland,integration,Venstre ledet regering,Socialdemokratisk ledet regering,Ved ikke,(C) Konservative Folkeparti,Ved ikke,(B) Radikale Venstre,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,600.000-699.999 kr.,Radikale Venstre,1.3363716836
2866,20150118,Mand,25,18-29 år,Hovedstaden,Forværring af miljøet,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Enhedslisten,1.2118823300
2870,20150118,Kvinde,65,60-69 år,Syddanmark,ved ikke,Ved ikke,Ved ikke,Ved ikke,Stemte blankt,Ved ikke,Ved ikke,Grundskole,Ingen,300.000-399.999 kr.,,0.7976582050
2871,20150118,Kvinde,45,40-49 år,Nordjylland,For mange på overførselsindkomst,Socialdemokratisk ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,Lang videregående 5 år,3 børn,1.000.000 kr. eller derover,Radikale Venstre,2.0269136720
2875,20150118,Mand,60,60-69 år,Sjælland,Indvandere,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Socialdemokraterne,0.6081670469
2885,20150119,Mand,41,40-49 år,Syddanmark,manglende incitament til at arbejde,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(B) Radikale Venstre,(I) Liberal Alliance,,Lang videregående 5 år,3 børn,900.000-999.999 kr.,Liberal Alliance (tidligere Ny Alliance),0.7324429822
